,location,total_sqft,bath,price,bhk
3120,Banjara Layout,2500.0,4.0,140.0,3
3121,Bannerghatta,3012.0,6.0,250.0,4
3122,Bannerghatta,1665.0,3.0,110.0,3
3123,Bannerghatta,2370.0,4.0,195.0,3
3124,Bannerghatta,1100.0,2.0,66.0,2
3125,Bannerghatta,2895.5,2.0,246.0,4
3126,Bannerghatta,1113.0,2.0,70.0,2
3127,Bannerghatta,1200.0,2.0,73.2,2
3128,Bannerghatta,1070.0,2.0,87.0,2
3129,Bannerghatta,1776.0,3.0,124.0,3
3130,Bannerghatta,1776.0,3.0,150.0,3
3131,Bannerghatta Road,500.0,1.0,18.5,1
3132,Bannerghatta Road,1050.0,2.0,65.0,2
3133,Bannerghatta Road,1170.0,2.0,66.0,3
3134,Bannerghatta Road,595.0,1.0,33.32,1
3135,Bannerghatta Road,1445.0,3.0,95.0,3
3136,Bannerghatta Road,1640.0,2.0,120.0,3
3138,Bannerghatta Road,1460.0,2.0,90.0,3
3140,Bannerghatta Road,1179.0,2.0,66.02,2
3141,Bannerghatta Road,1122.5,2.0,58.935,2
3142,Bannerghatta Road,793.0,2.0,45.0,2
3144,Bannerghatta Road,1400.0,2.0,78.0,2
3146,Bannerghatta Road,1215.0,2.0,50.0,2
3147,Bannerghatta Road,1654.0,3.0,100.0,3
3148,Bannerghatta Road,1181.0,2.0,55.0,2
3150,Bannerghatta Road,1200.0,2.0,75.0,2
3152,Bannerghatta Road,595.0,1.0,31.83,1
3153,Bannerghatta Road,1105.0,2.0,51.0,2
3154,Bannerghatta Road,1255.0,2.0,65.26,2
3156,Bannerghatta Road,1550.0,3.0,82.0,3
3158,Bannerghatta Road,1650.0,3.0,122.0,3
3159,Bannerghatta Road,912.0,2.0,55.0,2
3160,Bannerghatta Road,1218.0,2.0,73.0,2
3162,Bannerghatta Road,1115.0,2.0,65.12,2
3164,Bannerghatta Road,1893.0,3.0,100.0,3
3165,Bannerghatta Road,1600.0,3.0,95.0,3
3166,Bannerghatta Road,1275.0,2.0,65.0,2
3167,Bannerghatta Road,892.0,2.0,39.0,2
3169,Bannerghatta Road,1260.0,2.0,70.0,2
3171,Bannerghatta Road,1157.0,2.0,40.0,2
3172,Bannerghatta Road,1150.0,2.0,65.0,2
3174,Bannerghatta Road,1100.0,2.0,39.0,2
3176,Bannerghatta Road,1725.0,3.0,110.0,3
3177,Bannerghatta Road,1850.0,6.0,150.0,6
3179,Bannerghatta Road,950.0,2.0,38.0,2
3180,Bannerghatta Road,1220.0,2.0,80.0,2
3181,Bannerghatta Road,1130.0,2.0,78.0,2
3183,Bannerghatta Road,1486.0,3.0,83.22,3
3185,Bannerghatta Road,1015.0,2.0,48.0,2
3186,Bannerghatta Road,1115.0,2.0,61.0,2
3187,Bannerghatta Road,1136.0,2.0,48.0,2
3188,Bannerghatta Road,2700.0,4.0,260.0,4
3189,Bannerghatta Road,1200.0,2.0,69.0,3
3190,Bannerghatta Road,1465.0,2.0,76.0,3
3191,Bannerghatta Road,1302.5,2.0,67.73,2
3192,Bannerghatta Road,1200.0,2.0,65.0,2
3193,Bannerghatta Road,1240.0,2.0,65.0,2
3194,Bannerghatta Road,1476.0,3.0,125.0,3
3196,Bannerghatta Road,1532.5,3.0,84.29,3
3198,Bannerghatta Road,1268.0,2.0,69.0,2
3199,Bannerghatta Road,1450.0,2.0,87.0,3
3200,Bannerghatta Road,2932.0,5.0,195.0,4
3203,Bannerghatta Road,960.0,2.0,58.0,2
3204,Bannerghatta Road,1750.0,3.0,130.0,3
3205,Bannerghatta Road,1275.0,2.0,73.0,2
3207,Bannerghatta Road,1240.0,2.0,71.0,2
3209,Bannerghatta Road,1215.0,2.0,68.0,2
3210,Bannerghatta Road,1215.0,2.0,68.0,2
3211,Bannerghatta Road,1894.0,3.0,115.0,3
3213,Bannerghatta Road,1693.0,3.0,89.0,3
3214,Bannerghatta Road,1280.0,2.0,60.16,2
3216,Bannerghatta Road,630.0,1.0,35.0,1
3217,Bannerghatta Road,1215.0,2.0,68.0,2
3218,Bannerghatta Road,1365.0,3.0,76.18,3
3219,Bannerghatta Road,1115.0,2.0,78.0,2
3220,Bannerghatta Road,1532.5,3.0,79.465,3
3222,Bannerghatta Road,1655.0,3.0,90.0,3
3223,Bannerghatta Road,1247.0,2.0,47.39,2
3224,Bannerghatta Road,1237.5,2.0,49.49,2
3225,Bannerghatta Road,1650.0,3.0,94.0,3
3226,Bannerghatta Road,905.0,2.0,65.0,2
3227,Bannerghatta Road,1000.0,2.0,50.0,2
3228,Bannerghatta Road,2185.0,3.0,120.0,4
3229,Bannerghatta Road,1012.0,2.0,45.0,2
3231,Bannerghatta Road,1460.0,2.0,80.0,3
3232,Bannerghatta Road,1340.0,2.0,85.0,2
3233,Bannerghatta Road,1711.0,3.0,125.0,3
3234,Bannerghatta Road,1520.0,2.0,81.0,3
3235,Bannerghatta Road,2826.0,3.0,148.0,3
3236,Bannerghatta Road,1115.0,2.0,61.0,2
3237,Bannerghatta Road,1154.0,2.0,47.0,2
3238,Bannerghatta Road,1000.0,2.0,44.5,2
3239,Bannerghatta Road,1250.0,2.0,48.0,2
3240,Bannerghatta Road,1640.0,3.0,105.0,3
3242,Bannerghatta Road,1012.0,2.0,44.0,2
3243,Bannerghatta Road,1527.0,3.0,115.0,3
3246,Bannerghatta Road,1550.0,3.0,96.0,3
3247,Bannerghatta Road,1200.0,2.0,78.0,2
3248,Bannerghatta Road,1885.0,3.0,125.0,3
3250,Bannerghatta Road,1450.0,2.0,78.0,3
3251,Bannerghatta Road,700.0,1.0,31.2,1
3254,Bannerghatta Road,905.0,2.0,58.0,2
3256,Bannerghatta Road,1920.0,3.0,122.0,3
3257,Bannerghatta Road,2400.0,4.0,180.0,4
3259,Bannerghatta Road,1270.0,2.0,45.0,2
3260,Bannerghatta Road,1520.0,2.0,80.0,3
3261,Bannerghatta Road,1270.0,2.0,73.0,3
3262,Bannerghatta Road,1846.0,3.0,120.0,3
3264,Bannerghatta Road,1122.5,2.0,61.74,2
3265,Bannerghatta Road,1655.0,3.0,95.0,3
3266,Bannerghatta Road,1206.0,2.0,53.0,2
3267,Bannerghatta Road,1150.0,2.0,55.0,2
3268,Bannerghatta Road,1215.0,2.0,65.0,2
3269,Bannerghatta Road,1510.0,2.0,110.0,3
3270,Bannerghatta Road,1022.0,2.0,35.0,2
3271,Bannerghatta Road,1246.0,2.0,47.35,2
3272,Bannerghatta Road,1470.0,2.0,85.0,3
3273,Bannerghatta Road,1160.0,2.0,45.0,2
3274,Bannerghatta Road,970.0,2.0,57.0,2
3275,Bannerghatta Road,1527.0,3.0,142.0,3
3278,Basavangudi,1036.0,2.0,105.0,2
3279,Basavangudi,2600.0,4.0,260.0,4
3280,Basavangudi,1600.0,2.0,160.0,3
3281,Basavangudi,1560.0,2.0,145.0,2
3283,Basavangudi,1800.0,3.0,195.0,3
3284,Basavangudi,1100.0,2.0,93.0,2
3286,Basavangudi,1050.0,2.0,103.0,2
3289,Basavangudi,1180.0,2.0,124.0,2
3291,Basavangudi,1200.0,2.0,120.0,2
3293,Basavangudi,2453.0,3.0,250.0,4
3294,Basaveshwara Nagar,4500.0,5.0,415.0,5
3295,Basaveshwara Nagar,1865.0,3.0,145.0,3
3296,Basaveshwara Nagar,1200.0,2.0,90.0,2
3297,Basaveshwara Nagar,2400.0,4.0,310.0,5
3298,Basaveshwara Nagar,1200.0,2.0,80.0,2
3299,Basaveshwara Nagar,900.0,2.0,60.0,2
3300,Basaveshwara Nagar,1900.0,3.0,150.0,3
3301,Basaveshwara Nagar,1200.0,2.0,85.0,2
3302,Basaveshwara Nagar,1200.0,2.0,70.0,2
3303,Battarahalli,1200.0,2.0,65.0,2
3304,Battarahalli,1779.0,3.0,89.61,3
3305,Battarahalli,1300.0,2.0,50.0,2
3306,Battarahalli,1945.0,3.0,97.42,3
3307,Battarahalli,1777.0,3.0,100.0,3
3308,Battarahalli,1135.0,2.0,43.0,2
3309,Battarahalli,1276.0,2.0,45.0,2
3310,Battarahalli,1880.0,3.0,94.36,3
3311,Battarahalli,1071.0,2.0,62.0,2
3312,Battarahalli,1165.0,2.0,43.0,2
3313,Battarahalli,1636.0,2.0,82.89,2
3314,Battarahalli,1779.0,3.0,90.0,3
3316,Battarahalli,1090.0,2.0,38.37,2
3317,Battarahalli,2082.0,3.0,104.0,3
3318,Battarahalli,2024.0,3.0,103.0,3
3319,Battarahalli,1097.0,2.0,49.0,2
3321,Begur,1419.0,2.0,59.0,3
3322,Begur,1580.0,3.0,75.0,3
3323,Begur,1559.0,3.0,63.0,3
3324,Begur,1445.0,2.0,47.1,3
3325,Begur,1475.0,2.0,74.0,3
3326,Begur,3500.0,4.0,185.0,3
3327,Begur,1100.0,2.0,55.0,2
3328,Begur,1306.0,2.0,65.0,2
3329,Begur,1304.0,3.0,65.0,3
3330,Begur,1411.0,2.0,60.0,3
3331,Begur,815.0,2.0,40.0,2
3332,Begur,1443.0,2.0,70.0,3
3333,Begur Road,1200.0,2.0,44.0,2
3334,Begur Road,1200.0,2.0,46.8,2
3335,Begur Road,1160.0,2.0,44.0,2
3336,Begur Road,1584.0,3.0,65.0,3
3338,Begur Road,1615.0,3.0,59.76,3
3339,Begur Road,1200.0,2.0,43.2,2
3340,Begur Road,1160.0,2.0,44.08,2
3341,Begur Road,1200.0,2.0,45.0,2
3342,Begur Road,1615.0,3.0,60.0,3
3343,Begur Road,1410.0,2.0,53.0,3
3344,Begur Road,1200.0,2.0,37.8,2
3345,Begur Road,1160.0,2.0,40.59,2
3346,Begur Road,1260.0,2.0,46.62,2
3347,Begur Road,1600.0,3.0,58.14,3
3349,Begur Road,1500.0,2.0,70.0,3
3350,Begur Road,1160.0,2.0,42.0,2
3351,Begur Road,1240.0,2.0,39.06,2
3352,Begur Road,1200.0,2.0,45.0,2
3353,Begur Road,1500.0,2.0,55.0,3
3354,Begur Road,1410.0,2.0,52.17,3
3356,Begur Road,1583.0,3.0,74.4,3
3357,Begur Road,1170.0,2.0,46.0,2
3358,Begur Road,1160.0,2.0,42.92,2
3359,Begur Road,1410.0,2.0,52.17,3
3361,Begur Road,1565.0,2.0,59.76,3
3362,Begur Road,1160.0,2.0,42.0,2
3364,Begur Road,1410.0,2.0,53.58,3
3365,Begur Road,1200.0,2.0,45.0,2
3366,Begur Road,1200.0,2.0,42.6,2
3367,Begur Road,1160.0,2.0,42.0,2
3368,Begur Road,1334.0,2.0,42.69,2
3369,Begur Road,1565.0,2.0,57.91,3
3370,Begur Road,1200.0,2.0,45.6,2
3371,Begur Road,1215.0,2.0,43.13,2
3372,Begur Road,1160.0,2.0,36.54,2
3374,Begur Road,1200.0,2.0,44.4,2
3376,Begur Road,1260.0,2.0,39.69,2
3377,Begur Road,2464.5,6.0,118.0,4
3378,Begur Road,1160.0,2.0,44.0,2
3380,Begur Road,952.0,2.0,42.0,2
3383,Begur Road,1200.0,2.0,42.0,2
3384,Begur Road,1240.0,2.0,45.88,2
3385,Begur Road,1200.0,3.0,50.0,3
3387,Begur Road,1200.0,2.0,44.0,2
3389,Begur Road,1100.0,2.0,42.6,2
3390,Begur Road,1565.0,2.0,57.91,3
3391,Begur Road,1200.0,2.0,44.4,2
3392,Begur Road,1160.0,2.0,36.54,2
3393,Begur Road,1215.0,2.0,43.75,2
3394,Begur Road,1200.0,2.0,44.73,2
3395,Begur Road,1160.0,2.0,42.0,2
3396,Begur Road,1410.0,2.0,54.99,3
3397,Bellandur,1767.0,3.0,103.0,3
3398,Bellandur,1205.0,2.0,66.0,2
3399,Bellandur,1250.0,2.0,76.0,2
3400,Bellandur,1000.0,2.0,50.0,2
3401,Bellandur,1281.0,2.0,74.0,2
3402,Bellandur,921.0,2.0,40.0,2
3404,Bellandur,1490.0,2.0,98.0,3
3406,Bellandur,2039.0,3.0,168.0,3
3407,Bellandur,1605.0,3.0,85.0,3
3408,Bellandur,1692.0,3.0,88.0,3
3409,Bellandur,1220.0,2.0,60.0,2
3410,Bellandur,1299.0,2.0,82.0,2
3411,Bellandur,900.0,2.0,56.0,2
3412,Bellandur,1350.0,2.0,79.0,2
3413,Bellandur,1286.0,2.0,57.0,2
3414,Bellandur,3016.0,4.0,230.0,4
3415,Bellandur,1457.0,2.0,85.0,2
3416,Bellandur,1195.0,2.0,51.0,2
3417,Bellandur,1050.0,2.0,72.0,2
3418,Bellandur,3600.0,4.0,260.0,4
3419,Bellandur,1310.0,2.0,72.0,2
3420,Bellandur,924.0,2.0,35.11,2
3421,Bellandur,1785.0,3.0,118.0,3
3422,Bellandur,1051.0,2.0,60.0,2
3424,Bellandur,1060.0,2.0,65.0,2
3425,Bellandur,1100.0,2.0,62.0,2
3426,Bellandur,1550.0,2.0,59.0,2
3427,Bellandur,924.0,2.0,35.11,2
3429,Bellandur,1685.0,3.0,100.0,3
3430,Bellandur,982.0,2.0,55.0,2
3431,Bellandur,981.0,2.0,37.28,2
3432,Bellandur,1205.0,2.0,59.0,2
3433,Bellandur,1063.0,2.0,58.0,2
3434,Bellandur,1201.0,2.0,59.99,2
3435,Bellandur,1325.0,2.0,65.0,2
3436,Bellandur,1281.0,2.0,87.0,2
3438,Bellandur,1200.0,2.0,52.0,2
3439,Bellandur,1785.0,3.0,120.0,3
3440,Bellandur,1088.0,2.0,48.0,2
3441,Bellandur,1310.0,2.0,85.0,2
3442,Bellandur,982.0,2.0,37.28,2
3443,Bellandur,1465.0,3.0,90.0,2
3444,Bellandur,1767.0,3.0,109.0,3
3445,Bellandur,924.0,2.0,35.11,2
3446,Bellandur,3600.0,4.0,245.0,4
3447,Bellandur,1170.0,2.0,46.79,2
3448,Bellandur,1150.0,2.0,69.44,2
3449,Bellandur,1200.0,2.0,45.0,2
3451,Bellandur,1410.0,3.0,92.0,2
3452,Bellandur,950.0,2.0,35.0,2
3453,Bellandur,1015.0,2.0,60.0,2
3455,Bellandur,1685.0,3.0,101.0,3
3456,Bellandur,1735.0,3.0,105.0,3
3457,Bellandur,1685.0,3.0,115.0,3
3458,Bellandur,1846.0,3.0,135.0,3
3459,Bellandur,1049.0,2.0,51.0,2
3461,Bellandur,1211.0,2.0,63.0,2
3462,Bellandur,1717.0,3.0,110.0,3
3464,Bellandur,1185.0,2.0,47.39,2
3465,Bellandur,1200.0,2.0,62.0,2
3469,Bellandur,1251.0,2.0,47.0,2
3471,Bellandur,960.0,2.0,48.0,2
3472,Bellandur,1690.0,2.0,116.0,3
3473,Bellandur,950.0,1.0,40.0,1
3474,Bellandur,850.0,2.0,45.0,2
3475,Bellandur,1454.0,2.0,90.0,2
3477,Bellandur,1195.0,2.0,52.0,2
3478,Bellandur,1435.0,2.0,115.0,3
3480,Bellandur,1260.0,2.0,83.5,2
3481,Bellandur,1535.0,3.0,90.0,3
3482,Bellandur,1047.0,2.0,75.0,2
3483,Bellandur,1096.0,2.0,40.0,2
3484,Bellandur,1262.0,2.0,47.0,2
3485,Benson Town,3200.0,4.0,350.0,3
3486,Benson Town,4460.0,5.0,650.0,4
3487,Benson Town,2850.0,4.0,470.0,3
3488,Benson Town,1300.0,2.0,120.0,2
3489,Benson Town,1567.0,3.0,140.0,2
3490,Benson Town,3633.0,6.0,550.0,4
3491,Benson Town,1688.12,2.0,270.0,2
3492,Benson Town,1805.0,3.0,280.0,3
3493,Benson Town,1688.0,2.0,280.0,2
3494,Bharathi Nagar,1322.0,2.0,68.0,2
3495,Bharathi Nagar,1351.0,2.0,70.0,2
3496,Bharathi Nagar,1384.0,2.0,59.0,2
3497,Bharathi Nagar,1351.0,2.0,74.0,2
3498,Bharathi Nagar,1432.0,2.0,68.0,2
3500,Bharathi Nagar,1349.0,2.0,56.7,2
3501,Bharathi Nagar,1328.0,2.0,69.0,2
3502,Bharathi Nagar,1300.0,2.0,55.86,2
3503,Bhoganhalli,1670.0,3.0,99.0,3
3506,Bhoganhalli,1444.0,2.0,75.97,2
3507,Bhoganhalli,1447.0,2.0,75.97,2
3508,Bhoganhalli,1700.0,3.0,126.0,3
3509,Bhoganhalli,1447.0,2.0,75.97,2
3514,Bhoganhalli,1760.0,3.0,127.0,3
3516,Bhoganhalli,1447.0,2.0,75.97,2
3517,Bhoganhalli,1949.0,3.0,129.0,3
3518,Bhoganhalli,1760.0,3.0,128.0,3
3519,Bhoganhalli,1447.0,2.0,75.97,2
3520,Bhoganhalli,2439.0,4.0,185.0,4
3524,Bhoganhalli,1444.0,2.0,75.97,2
3525,Bhoganhalli,1205.0,2.0,64.47,2
3526,Bhoganhalli,1447.0,2.0,75.97,2
3527,Bhoganhalli,2439.0,5.0,170.0,4
3529,Bhoganhalli,1205.0,2.0,68.32,2
3530,Bhoganhalli,1260.0,2.0,69.9,2
3531,Bhoganhalli,2439.0,4.0,170.0,4
3532,Bhoganhalli,1707.0,3.0,115.0,3
3534,Bhoganhalli,970.0,2.0,52.5,2
3536,Bhoganhalli,1277.0,2.0,79.89,2
3538,Bhoganhalli,1703.0,3.0,120.0,3
3540,Billekahalli,1125.0,2.0,62.0,2
3542,Billekahalli,1090.0,2.0,52.0,2
3543,Billekahalli,1112.0,2.0,62.0,2
3544,Billekahalli,2400.0,3.0,150.0,3
3545,Billekahalli,2968.0,3.0,225.0,3
3546,Billekahalli,950.0,2.0,58.11,2
3547,Billekahalli,1360.0,2.0,110.0,2
3548,Billekahalli,1125.0,2.0,65.0,2
3549,Billekahalli,950.0,2.0,56.0,2
3551,Billekahalli,1805.0,3.0,134.0,3
3552,Binny Pete,1755.0,3.0,122.0,3
3553,Binny Pete,665.0,1.0,50.75,1
3554,Binny Pete,2465.0,5.0,234.0,3
3556,Binny Pete,1245.0,2.0,86.28,2
3557,Binny Pete,660.0,1.0,54.0,1
3558,Binny Pete,665.0,1.0,46.08,1
3559,Binny Pete,660.0,1.0,62.0,1
3560,Binny Pete,1365.0,2.0,122.0,2
3561,Binny Pete,2940.0,6.0,280.0,4
3562,Binny Pete,1795.0,3.0,139.0,3
3563,Binny Pete,1740.0,3.0,150.0,3
3564,Binny Pete,1970.0,3.0,164.0,3
3565,Binny Pete,1516.0,3.0,147.0,3
3566,Bisuvanahalli,1180.0,3.0,48.0,3
3568,Bisuvanahalli,1075.0,2.0,46.0,3
3571,Bisuvanahalli,1075.0,2.0,45.0,3
3573,Bisuvanahalli,845.0,2.0,33.0,2
3574,Bisuvanahalli,1075.0,2.0,45.0,3
3575,Bisuvanahalli,845.0,2.0,37.0,2
3578,Bisuvanahalli,845.0,2.0,29.0,2
3579,Bisuvanahalli,1075.0,2.0,47.0,3
3580,Bisuvanahalli,850.0,1.0,32.0,2
3581,Bisuvanahalli,1075.0,2.0,50.0,3
3582,Bisuvanahalli,1075.0,2.0,52.0,3
3583,Bisuvanahalli,1180.0,2.0,46.0,3
3584,Bisuvanahalli,1075.0,2.0,42.0,3
3585,Bisuvanahalli,845.0,2.0,37.0,2
3586,Bisuvanahalli,1075.0,2.0,43.0,3
3587,Bisuvanahalli,700.0,1.0,32.0,2
3588,Bisuvanahalli,1075.0,2.0,52.0,3
3589,Bisuvanahalli,1075.0,2.0,50.0,3
3591,Bisuvanahalli,845.0,2.0,33.0,2
3592,Bisuvanahalli,945.0,2.0,33.0,2
3593,Bisuvanahalli,845.0,2.0,30.0,2
3596,Bisuvanahalli,1075.0,2.0,43.0,3
3597,Bisuvanahalli,1080.0,2.0,45.0,3
3598,Bisuvanahalli,1180.0,2.0,55.5,3
3599,Bisuvanahalli,1075.0,2.0,47.0,3
3600,Bisuvanahalli,1075.0,2.0,48.0,3
3602,Bisuvanahalli,1075.0,2.0,45.0,3
3603,Bisuvanahalli,1075.0,2.0,44.0,3
3604,Bisuvanahalli,850.0,2.0,27.0,2
3605,Bisuvanahalli,1075.0,2.0,42.0,3
3606,Bisuvanahalli,845.0,2.0,32.0,2
3608,Bisuvanahalli,845.0,2.0,34.0,2
3609,Bommanahalli,3000.0,8.0,140.0,8
3610,Bommanahalli,520.0,1.0,19.5,1
3611,Bommanahalli,515.0,1.0,25.0,1
3612,Bommanahalli,1090.0,3.0,44.0,2
3615,Bommanahalli,1850.0,3.0,90.0,3
3616,Bommanahalli,910.0,2.0,45.0,2
3617,Bommanahalli,1050.0,2.0,46.0,2
3618,Bommanahalli,1100.0,1.0,55.0,2
3620,Bommanahalli,1350.0,2.0,72.0,2
3621,Bommanahalli,2100.0,4.0,85.0,4
3622,Bommanahalli,1307.0,2.0,50.0,2
3623,Bommanahalli,1091.0,2.0,40.0,2
3624,Bommanahalli,1160.0,2.0,53.0,2
3625,Bommanahalli,1050.0,2.0,54.0,2
3626,Bommasandra,1260.0,3.0,49.36,3
3627,Bommasandra,1200.0,3.0,46.0,3
3628,Bommasandra,1035.0,2.0,41.0,2
3629,Bommasandra,1035.0,2.0,41.73,2
3630,Bommasandra,1034.0,2.0,40.0,2
3631,Bommasandra,877.0,2.0,30.0,2
3632,Bommasandra,920.0,2.0,37.46,2
3633,Bommasandra,1035.0,2.0,41.43,2
3634,Bommasandra,1295.0,2.0,50.28,3
3636,Bommasandra,1015.0,2.0,40.0,2
3637,Bommasandra,1000.0,2.0,35.0,2
3638,Bommasandra,955.0,2.0,35.28,2
3639,Bommasandra,1005.0,2.0,39.77,2
3640,Bommasandra,1014.0,2.0,35.0,2
3641,Bommasandra,1020.0,2.0,40.89,2
3642,Bommasandra,920.0,2.0,37.2,2
3643,Bommasandra,800.0,1.0,32.0,2
3644,Bommasandra,1280.0,3.0,50.0,3
3645,Bommasandra,1942.0,3.0,90.0,3
3646,Bommasandra,1127.0,2.0,45.0,2
3648,Bommasandra,877.0,2.0,29.0,2
3649,Bommasandra,1365.0,3.0,52.81,3
3650,Bommasandra,842.0,2.0,30.0,2
3651,Bommasandra,1260.0,3.0,49.36,3
3652,Bommasandra,1365.0,3.0,52.82,3
3653,Bommasandra,955.0,2.0,37.97,2
3654,Bommasandra,1089.0,2.0,40.0,2
3655,Bommasandra,1365.0,3.0,53.96,3
3656,Bommasandra Industrial Area,1090.0,2.0,31.48,2
3658,Bommasandra Industrial Area,1400.0,2.0,40.44,3
3659,Bommasandra Industrial Area,1320.0,2.0,38.13,3
3661,Bommasandra Industrial Area,1020.0,2.0,29.45,2
3662,Bommasandra Industrial Area,1165.0,2.0,33.64,2
3663,Bommasandra Industrial Area,1090.0,2.0,31.48,2
3665,Bommasandra Industrial Area,1000.0,2.0,28.88,2
3666,Bommasandra Industrial Area,1020.0,2.0,29.45,2
3667,Bommasandra Industrial Area,1160.0,2.0,33.51,2
3668,Bommasandra Industrial Area,1125.0,2.0,32.49,2
3671,Bommasandra Industrial Area,1125.0,2.0,32.49,2
3672,Bommasandra Industrial Area,1130.0,2.0,32.64,2
3673,Bommasandra Industrial Area,1065.0,2.0,30.75,2
3674,Bommenahalli,1200.0,3.0,125.0,3
3675,Bommenahalli,1632.0,3.0,145.0,4
3676,Bommenahalli,1670.0,3.0,135.0,4
3677,Bommenahalli,1680.0,3.0,135.0,4
3678,Bommenahalli,1632.0,3.0,128.0,4
3679,Bommenahalli,3339.0,3.0,250.0,3
3680,Bommenahalli,1355.0,3.0,135.0,4
3681,Bommenahalli,1232.0,3.0,96.0,3
3682,Bommenahalli,1632.0,3.0,140.0,4
3683,Brookefield,1150.0,2.0,69.0,2
3684,Brookefield,1142.0,2.0,70.0,2
3688,Brookefield,2800.0,4.0,240.0,4
3689,Brookefield,1476.0,3.0,105.0,3
3690,Brookefield,1700.0,4.0,152.0,4
3691,Brookefield,1262.0,2.0,75.0,2
3692,Brookefield,1139.0,2.0,80.0,2
3693,Brookefield,1125.0,2.0,70.0,2
3694,Brookefield,1420.0,3.0,85.0,3
3696,Brookefield,941.0,2.0,48.0,2
3699,Brookefield,1100.0,2.0,55.0,2
3700,Brookefield,2400.0,3.0,140.0,4
3701,Brookefield,1225.0,2.0,66.5,2
3702,Brookefield,1950.0,6.0,175.0,5
3703,Brookefield,1080.0,2.0,50.0,2
3704,Brookefield,1230.0,2.0,55.0,2
3705,Brookefield,1200.0,2.0,75.0,2
3706,Brookefield,1089.0,2.0,49.0,2
3707,Brookefield,1130.0,2.0,56.0,2
3708,Brookefield,1270.0,2.0,95.0,2
3709,Brookefield,1706.0,3.0,115.0,3
3710,Brookefield,1389.0,2.0,94.0,2
3712,Brookefield,1225.0,2.0,72.0,2
3714,Brookefield,1746.0,3.0,115.0,3
3716,Brookefield,1560.0,3.0,149.0,4
3718,Brookefield,1382.0,2.0,84.5,2
3719,Brookefield,1260.0,2.0,70.0,2
3720,Brookefield,1206.0,2.0,90.0,2
3722,Brookefield,1594.0,3.0,140.0,3
3723,Budigere,1153.0,2.0,56.4,2
3724,Budigere,1162.0,2.0,59.9,2
3725,Budigere,1991.0,4.0,103.0,3
3726,Budigere,1153.0,2.0,57.0,2
3727,Budigere,1162.0,2.0,57.0,2
3728,Budigere,1139.0,2.0,62.0,2
3729,Budigere,1139.0,2.0,56.8,2
3730,Budigere,1139.0,2.0,56.85,2
3733,Budigere,664.0,1.0,35.0,1
3734,Budigere,1820.0,3.0,93.0,3
3735,Budigere,1636.0,3.0,85.0,3
3736,Budigere,1444.0,2.0,70.0,2
3738,Budigere,1139.0,2.0,60.0,2
3740,Budigere,1820.0,3.0,93.0,3
3742,Budigere,1162.0,2.0,58.0,2
3743,Budigere,1636.0,3.0,85.0,3
3744,Budigere,1636.0,3.0,92.0,3
3745,Budigere,1087.0,2.0,54.3,2
3747,Budigere,1149.0,2.0,65.0,2
3748,Budigere,664.0,1.0,35.4,1
3749,Budigere,1153.0,2.0,56.7,2
3751,Budigere,1139.0,2.0,56.5,2
3752,Budigere,1636.0,3.0,83.0,3
3753,Budigere,664.0,1.0,34.0,1
3755,Budigere,1162.0,2.0,58.0,2
3756,Budigere,1153.0,2.0,60.0,2
3757,Budigere,1820.0,3.0,99.0,3
3758,Budigere,1172.0,2.0,56.725,2
3761,Budigere,1820.0,3.0,95.0,3
3763,Budigere,1820.0,3.0,95.5,3
3764,Budigere,1153.0,2.0,56.0,2
3765,Budigere,705.0,1.0,34.545,1
3766,Budigere,1153.0,2.0,56.5,2
3767,Budigere,1153.0,2.0,58.0,2
3768,Budigere,1636.0,3.0,88.0,3
3769,Budigere,1153.0,2.0,56.55,2
3770,Budigere,1153.0,2.0,56.5,2
3771,Budigere,1153.0,2.0,60.0,2
3773,CV Raman Nagar,1120.0,2.0,55.0,2
3774,CV Raman Nagar,1070.0,2.0,55.0,2
3775,CV Raman Nagar,740.0,2.0,37.0,2
3776,CV Raman Nagar,1028.0,2.0,49.0,2
3777,CV Raman Nagar,1392.0,2.0,98.0,2
3778,CV Raman Nagar,1070.0,2.0,47.5,2
3779,CV Raman Nagar,1825.0,3.0,126.0,3
3780,CV Raman Nagar,1025.0,2.0,50.0,2
3782,CV Raman Nagar,1198.0,2.0,60.0,2
3783,CV Raman Nagar,1560.0,2.0,85.0,2
3784,CV Raman Nagar,1590.0,2.0,85.0,3
3785,CV Raman Nagar,1100.0,2.0,58.0,2
3786,CV Raman Nagar,1051.0,2.0,61.0,2
3788,CV Raman Nagar,1020.0,2.0,55.0,2
3789,CV Raman Nagar,1285.0,2.0,65.0,2
3790,CV Raman Nagar,1040.0,2.0,50.0,2
3791,CV Raman Nagar,1392.0,2.0,95.0,2
3792,CV Raman Nagar,705.0,2.0,50.0,1
3793,CV Raman Nagar,1125.0,2.0,46.0,2
3794,CV Raman Nagar,1400.0,2.0,78.0,3
3795,CV Raman Nagar,1400.0,2.0,78.0,3
3796,CV Raman Nagar,907.0,2.0,38.0,2
3798,CV Raman Nagar,1310.0,2.0,62.0,2
3799,Chamrajpet,1475.0,2.0,120.0,3
3800,Chamrajpet,1900.0,2.0,170.0,4
3801,Chamrajpet,1350.0,2.0,180.0,2
3802,Chamrajpet,1050.0,2.0,162.0,2
